panel,method,state,angle_deg,value
ADC(2),ADC(2),A_2,122.0,13.086887662885939
ADC(2),ADC(2),A_2,126.0,13.104903595175395
ADC(2),ADC(2),A_2,130.0,13.113031162768952
ADC(2),ADC(2),A_2,134.0,13.112435603485016
ADC(2),ADC(2),A_2,138.0,13.104146193450624
ADC(2),ADC(2),A_2,142.0,13.08915532103761
ADC(2),ADC(2),A_2,146.0,13.068483279894407
EOM-CCSD,EOM-CCSD,A_1,90.0,13.732304712665234
EOM-CCSD,EOM-CCSD,A_1,94.0,13.525851402758306
EOM-CCSD,EOM-CCSD,A_1,98.0,13.324029723856338
EOM-CCSD,EOM-CCSD,A_1,102.0,13.127064436567444
EOM-CCSD,EOM-CCSD,A_1,106.0,12.934114537624891
EOM-CCSD,EOM-CCSD,A_1,110.0,12.744049418420403
EOM-CCSD,EOM-CCSD,A_1,114.0,12.555745137135338
EOM-CCSD,EOM-CCSD,A_1,118.0,12.368129056298683
EOM-CCSD,EOM-CCSD,A_1,122.0,12.180212901900198
EOM-CCSD,EOM-CCSD,A_1,126.0,11.991044531208308
EOM-CCSD,EOM-CCSD,A_1,130.0,11.799736355063024
EOM-CCSD,EOM-CCSD,A_1,134.0,11.605509926453452
EOM-CCSD,EOM-CCSD,A_1,138.0,11.407797381844581
EOM-CCSD,EOM-CCSD,A_1,142.0,11.206475306715229
EOM-CCSD,EOM-CCSD,A_1,146.0,11.001706196579502
EOM-CCSD,EOM-CCSD,B_2,90.0,10.830392476290788
EOM-CCSD,EOM-CCSD,B_2,94.0,11.260243800472889
EOM-CCSD,EOM-CCSD,B_2,98.0,11.61776420689562
EOM-CCSD,EOM-CCSD,B_2,102.0,11.915047515898728
EOM-CCSD,EOM-CCSD,B_2,106.0,12.161996946873865
EOM-CCSD,EOM-CCSD,B_2,110.0,12.366726235866958
EOM-CCSD,EOM-CCSD,B_2,114.0,12.535913772722234
EOM-CCSD,EOM-CCSD,B_2,118.0,12.675077090498688
EOM-CCSD,EOM-CCSD,B_2,122.0,12.788783416292317
EOM-CCSD,EOM-CCSD,B_2,126.0,12.880804901310078
EOM-CCSD,EOM-CCSD,B_2,130.0,12.954247793320423
EOM-CCSD,EOM-CCSD,B_2,134.0,13.011674256587222
EOM-CCSD,EOM-CCSD,B_2,138.0,13.055229187814236
EOM-CCSD,EOM-CCSD,B_2,142.0,13.08677214238791
EOM-CCSD,EOM-CCSD,B_2,146.0,13.108009489195819
EOM-CCSD,EOM-CCSD,A_2,90.0,12.80210395585656
EOM-CCSD,EOM-CCSD,A_2,94.0,12.940774698561468
EOM-CCSD,EOM-CCSD,A_2,98.0,13.057302679119347
EOM-CCSD,EOM-CCSD,A_2,102.0,13.154008381145992
EOM-CCSD,EOM-CCSD,A_2,106.0,13.233214886944575
EOM-CCSD,EOM-CCSD,A_2,110.0,13.296991070047964
